"Parameter","mean","se_mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","n_eff","Rhat","valid","Q5","Q50","Q95","MCSE_Q2.5","MCSE_Q25","MCSE_Q50","MCSE_Q75","MCSE_Q97.5","MCSE_SD","Bulk_ESS","Tail_ESS","Temp","TL"
"N1_0[3]",169875.844847196,213.332643443638,19248.9537481414,134128.804378224,156753.583389003,168949.007229287,182077.996340033,210211.191335368,8024,1.0005026603155,1,139725.938168636,168949.007229287,202653.541138065,480.907016514495,217.282233827471,188.352989640058,282.679980833462,474.788593925972,150.854363357231,8109,11075,14,2
"N1_0[4]",238689.120568809,208.271543290247,21574.6575451519,198999.491046294,223759.507153,237732.052758442,252682.457804625,283412.801570685,10676,1.00050087946244,1,204863.966859502,237732.052758442,275337.968336544,236.012942144385,255.453431840477,249.427269598091,260.013470407561,571.615043044672,147.99150107959,10832,12354,14,2
"N1_0[5]",178557.965584918,51.1229556777592,6508.1717917215,165624.743353208,174173.85839954,178600.407524065,182933.168024511,191338.726353476,16189,1.00036018839746,1,167822.361468988,178600.407524065,189264.015740694,103.630321564153,76.6085832496465,74.7357018809271,68.1567626099422,138.311234592489,36.1500394353401,16225,14889,14,2
"N2_0[1]",0.0136801742612942,0.000777999697688859,0.0464855443061631,4.66455581710422e-05,0.000943366052105241,0.00338019853024422,0.010030496882688,0.0859135882964905,3568,1.00001200337739,1,0.000106330382418244,0.00338019853024422,0.0421629541970929,3.42401368110325e-06,2.2920237192923e-05,7.46403150977139e-05,0.000235051298024887,0.0115292708327101,0.000550173812385766,6592,4174,14,2
"N2_0[2]",0.113172297585425,0.000797484579844252,0.0961110332777526,0.0126319541309473,0.0472933690872595,0.0845043615345449,0.148184916794658,0.375872538499305,14504,1.00015909771302,1,0.0177252302057637,0.0845043615345449,0.307697384971676,0.000294756008360804,0.000535872968919191,0.000747995385855044,0.00129383531331485,0.0049061346817145,0.000563918073907537,12924,11953,14,2
"N2_0[3]",0.146486114600114,0.00105880579005211,0.128603659010099,0.00828106514271558,0.0504313210812104,0.109487062031635,0.205431268360016,0.482537871593984,14740,1.00059242612875,1,0.0136179515926071,0.109487062031635,0.409282340096481,0.000317889388383071,0.000792008675893827,0.00133491857518395,0.00151410992261711,0.00409181581662149,0.000748703564183469,11253,10112,14,2
"N2_0[4]",0.169423029376369,0.000828142869604934,0.109823101454285,0.0308422708167512,0.0896221747869695,0.144364648839751,0.222703897330111,0.450811443136444,17545,1.00013728911578,1,0.0412603254759328,0.144364648839751,0.383029819904528,0.000723502931802955,0.000810309850495419,0.00105660742553609,0.00149564244226291,0.00395945026058966,0.000585595147612939,15390,11827,14,2
"N2_0[5]",0.130134442233596,0.000451497595020368,0.0568822277393432,0.0362053459454422,0.0883731593494318,0.124277274844882,0.165547405717884,0.255138398813445,15807,1.00019898179611,1,0.0470889198424849,0.124277274844882,0.233165783970272,0.000949619299154957,0.000611270688529494,0.000487396417340483,0.000588673106106177,0.0013788206664547,0.000319262875842031,13060,8904,14,2
"r",0.0909123921450026,0.000110497151560089,0.00786984872815339,0.076110483310106,0.0855207205520373,0.0907211009374705,0.0961906829711829,0.106690960936386,5043,1.00095413652179,1,0.0782213805960883,0.0907211009374705,0.104151191855466,0.000161918323523177,0.000139239051936399,0.000123746189277095,0.000133084003559124,0.000187221664153116,7.81892689007764e-05,5086,7994,17,2
"Q",7.92106594738209e-08,4.24096750244861e-10,4.197809971076e-08,1.73029826376752e-08,4.66514019320283e-08,7.34402469796862e-08,1.05022688839017e-07,1.74848555893605e-07,9791,1.00015596819239,1,2.21083331944654e-08,7.34402469796862e-08,1.57693531098943e-07,4.51231362677825e-10,4.94968192341544e-10,5.21433976140909e-10,5.25470066766926e-10,1.23340503113853e-09,2.99890615202176e-10,7416,4830,17,2
"a1",0.242398051280252,0.000879021304432988,0.0674137224509791,0.134920184744652,0.193208677528948,0.234218871660313,0.282198248646479,0.394686046034225,5833,1.00043242917948,1,0.146811495475291,0.234218871660313,0.366798425813651,0.00106098817793386,0.000769902441696418,0.0011098844521165,0.00125392137794836,0.00246189370839894,0.000621592751498443,5985,8465,17,2
