Parameter,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,valid,Q5,Q50,Q95,MCSE_Q2.5,MCSE_Q25,MCSE_Q50,MCSE_Q75,MCSE_Q97.5,MCSE_SD,Bulk_ESS,Tail_ESS
r,0.10661200681499718,3.528953128290251e-4,0.016299684131297787,0.07868343126910582,0.0959560207999807,0.10510184273746631,0.11547535564299609,0.14349220367439489,2109,1.002817192833181,1,0.0830635815742835,0.10510184273746631,0.13479068129220692,5.032755273873951e-4,3.38285774653696e-4,3.1898129911551304e-4,3.38162685291174e-4,0.0011894772097349182,2.4956879219256294e-4,1999,2904
Q,1.7908776246373355e-7,1.9133450373803344e-09,8.533791004346289e-8,3.610185844585385e-8,1.1497832675318603e-7,1.7209485812929709e-7,2.356547827048356e-7,3.611197658144876e-7,1982,1.0012679963285733,1,5.129469359115795e-8,1.7209485812929709e-7,3.3010549185702e-7,2.1185292373183653e-9,1.82855096027325e-9,2.191727842434352e-9,2.3637260199990625e-9,3.322079292870486e-9,1.353137666611663e-9,1973,3130
a1,0.19075441908578386,0.003879842035325686,0.128946307623485,0.0014587235624736186,0.1233627524108814,0.17327008305072789,0.24214874007031434,0.5085669890128888,1094,1.0072641667040805,1,0.0023644118880540603,0.17327008305072789,0.4224963630821875,1.1283571223359972e-4,0.0036178171135088574,0.002111768656882493,0.0029988924059589778,0.012331122760930957,0.002744187368784666,891,998
e1,5.570507554315618e-4,6.809692661699949e-5,0.001665382318473898,1.678974237094012e-5,3.182615799707129e-5,4.4379802275527414e-5,6.686297882263266e-5,0.006934636089111327,595,1.0048713271376215,1,1.9605269791742325e-5,4.4379802275527414e-5,0.0046575587533298456,2.2381700828423054e-7,2.938807026703939e-7,6.679810091895103e-7,2.4121574638541878e-6,3.385496125213384e-4,4.8175299653509646e-5,871,1052
d1,2.02271390750015,0.007488147693661414,0.5381980456058889,1.080619426855089,1.6230589588016084,1.9880157222023689,2.3824732159163844,3.1933510392858686,5144,1.0008611904049498,1,1.2052042518448463,1.9880157222023689,2.9845729161241827,0.011420843601805841,0.006644932916293644,0.006376476583521584,0.011599208814590645,0.03202714992753308,0.005866461415636685,5565,2152
h1,4.400602020048735e-5,5.269239270470476e-6,1.4251298068536716e-4,1.976427445188517e-7,2.3530951296968968e-6,4.942281895493181e-6,8.686188625934734e-6,5.753334603330601e-4,729,1.0027939488526922,1,4.121302249892623e-7,4.942281895493181e-6,3.225868530661399e-4,1.4910107121121817e-8,6.12230718769081e-8,1.0789180517313701e-7,3.6931583747749e-7,3.984977704665814e-5,3.727401446546436e-6,929,1002
w1,1.0087071829929735,0.022505782329959968,0.5936071405317677,0.4261713058624434,0.6098293809767645,0.7938045996026031,1.1930105880855235,2.6733242702798687,693,1.0030796600651872,1,0.4596800049454916,0.7938045996026031,2.309263532841501,0.0023644206622642494,0.004799301410075341,0.011067677184076585,0.0438277557599982,0.0630640505671145,0.015920668070330615,953,1537
B,0.09153110287392953,3.292401805495091e-4,0.019443844895392737,0.05859155375586408,0.07815344316176681,0.0895762048344518,0.10284108882699683,0.13593402959525444,3465,1.0013913840507647,1,0.06356455414515035,0.0895762048344518,0.12606801278374852,3.7453898739531546e-4,3.313001282671535e-4,3.1809923792412015e-4,3.9881863263784706e-4,0.0016791391295237351,2.414375393550068e-4,3694,3818
N1_0[1],236478.12553518912,479.11846775070853,33965.02339091642,169674.56246123865,214908.92999374977,235653.03502841495,256956.0905481259,306463.3078447622,5038,1.000013625772157,1,181932.8933057212,235653.03502841495,292688.80134957365,1468.6919840362243,623.5645273985865,432.62887493929884,527.7755329571664,1277.3145529148169,338.80758186951175,4914,5025
N1_0[2],228727.11827128823,600.7750365513023,36298.596682024,161251.7373288718,205006.57120299147,227157.89463948383,249615.12117321434,308967.6654583617,3638,1.0002290733485055,1,173028.3473335463,227157.89463948383,291721.2664522845,1224.9223385717632,639.2043409216858,568.0889543078956,577.4432275226718,2024.7725934304763,424.84604832997627,3467,5540
N1_0[3],332310.76882971113,1897.2003053766023,58109.392167664315,205239.93849105178,297889.03073322994,339820.9964948814,371941.1841979566,432673.60891918285,937,1.0022792989872371,1,224342.81444922372,339820.9964948814,418530.9831703525,2388.040276488726,3620.3477803586284,1447.289607607876,892.9722322288144,1532.7829444883973,1341.9405016673413,1091,1654
N1_0[4],192757.7706236693,85.1461379388043,7395.735223666214,178059.13331005044,187778.71828075717,192764.08970232354,197684.09993810096,207188.91356978533,7485,1.0006600961273118,1,180577.24581038943,192764.08970232354,204843.81542908694,211.29549863093416,104.37323163819383,112.55592278970289,115.41563402967586,219.39948198992352,60.20973915467948,7555,7978
N2_0[1],0.2276564780491481,0.002210767505145159,0.1911219354888908,0.008330286934842982,0.07956476391303596,0.1777261346303063,0.32973982365483356,0.7060176588091904,7404,1.001125723938668,1,0.0166259638537338,0.1777261346303063,0.6038406370266253,6.300215369215755e-4,0.0018967897144888043,0.002991865432498228,0.003400252908373369,0.00838506952005219,0.0015633097048344121,5378,4381
