Parameter,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,valid,Q5,Q50,Q95,MCSE_Q2.5,MCSE_Q25,MCSE_Q50,MCSE_Q75,MCSE_Q97.5,MCSE_SD,Bulk_ESS,Tail_ESS
r,0.08158595026548648,1.5972468761787012e-4,0.013131950889402881,0.05656746604229047,0.07258433401442053,0.08115476696461617,0.09031396375039644,0.1081648598103902,6727,1.000854584369673,1,0.060357829617908955,0.08115476696461617,0.10361506960405155,3.788049289471275e-4,1.886765550917699e-4,1.873180248478934e-4,2.0487974853848623e-4,3.212095875973209e-4,1.1294728345998789e-4,6643,7662
Q,2.8264281153401253e-7,5.056864670599918e-10,3.8933462065756085e-8,2.0639833908473708e-7,2.569710499076494e-7,2.8230966235133056e-7,3.0835364256659993e-7,3.595418164034142e-7,5857,1.001145763215973,1,2.188453528624459e-7,2.8230966235133056e-7,3.463582299274626e-7,1.3943749859330488e-9,6.705882763994313e-10,5.7242415133529e-10,6.302002651664804e-10,1.2101088840357837e-9,3.5759192621808693e-10,5919,6542
a1,5.436425137082482,0.04391268542869658,2.4612813867806933,1.53730050021837,3.576539318754078,5.1590302746965335,7.041872433871374,10.837427946575241,3121,1.002101704297015,1,1.8718574348843255,5.1590302746965335,9.909488629879759,0.048722570348992855,0.050670160683083054,0.046408520645353946,0.046461000735247726,0.07018269954506362,0.031053840938120903,2575,2898
h1,2.0019650065075316e-5,9.764700359252658e-9,4.4968066935965763e-7,1.8893963211348274e-5,1.9808281861602198e-5,2.00899805821964e-5,2.031912315615186e-5,2.0690425661268437e-5,2101,1.0021882282071786,1,1.918786862281668e-5,2.00899805821964e-5,2.0602320737701244e-5,5.2722809468669666e-8,1.325545402010086e-8,7.302129213954077e-9,6.16075121551702e-9,6.500154468234084e-9,6.905635660654727e-9,2554,2448
w1,1.0067025259186426,0.00534655493800711,0.5213722354108153,0.11442411126898225,0.6163145616027387,0.9812763978795782,1.3539387817217576,2.101620749470929,9412,1.0006190282701555,1,0.19518139704409118,0.9812763978795782,1.918880799147446,0.010531138623508858,0.00968274904207106,0.00658010425619282,0.006213385344680855,0.011965260546509704,0.003780701234234423,7581,4206
a2,16.19266051989325,0.08330431466308984,4.7821989733788,9.06882345270133,12.78304315480102,15.448567237292872,18.802803723666734,27.392731926872443,3295,1.0006204430273475,1,9.83116136399546,15.448567237292872,25.12334511260407,0.08824773135794395,0.06462197482556142,0.07591931205177449,0.12128410556895197,0.36482255263911867,0.06453905960920853,3721,4376
e2,0.10362788106824,2.0799612556674993e-4,0.016627270125491356,0.07341432672042532,0.09196408488751315,0.10282150678638417,0.1145926730573856,0.13808915723248208,6370,1.0003980187799497,1,0.07782503955275241,0.10282150678638417,0.13181494838156466,6.981063003543425e-4,2.2065110421171097e-4,2.508429405782414e-4,2.816795774066086e-4,5.050042681872258e-4,1.4708218418353345e-4,6155,5233
d2,0.03470844343333576,1.2903842927024418e-4,0.00979141537103894,0.0159865461071763,0.028098590987699113,0.03454582420028033,0.04114635921696738,0.054657534049749004,5704,1.0000586763188353,1,0.018976808523583733,0.03454582420028033,0.0511065031583086,3.211355124050578e-4,1.656523075232834e-4,1.450108465747349e-4,1.2590298353307855e-4,2.9150467546776304e-4,9.124857082920964e-5,5709,7355
h2,0.17317646478968363,8.808908604303966e-4,0.06577473918322642,0.043574792348783926,0.1287454986816883,0.1739562157849949,0.2171583936672929,0.30218352663676346,5533,1.000966301159044,1,0.0639906373666972,0.1739562157849949,0.2804811909454443,0.0024273342146361385,0.001166757070942881,8.147071512867865e-4,0.0010072433674985087,0.001690735670801996,6.229164896962214e-4,5397,4763
w2,21.45979283814452,0.1047562440810049,8.36422374606906,5.774904265615728,15.59535293151486,21.237923159521895,27.063925738842734,38.50588435030581,6377,1.0001818914383716,1,8.187499383150424,21.237923159521895,35.66210849107513,0.35673121882156655,0.14009599716233634,0.10513274570241471,0.10887040495889977,0.23523081694568404,0.07407723967855942,5953,4568
N1_0[1],273922.23761306074,686.0905727525994,55331.01716763224,175023.87886025157,235208.90000131083,270774.5657172701,309151.80054429837,393065.7543110151,6459,1.0006000503242827,1,187941.59281694941,270774.5657172701,370529.3469146379,1092.4218284873205,755.9782808775053,747.9155904418149,840.1286565112241,1906.4351891683473,485.1610535238483,6481,9344
N1_0[2],193959.19782892827,582.482584914307,47097.72473205375,113280.43607027635,160151.0256633233,190390.19944134203,223759.2290795198,296250.68423435703,6520,1.000651785616729,1,122794.40887123655,190390.19944134203,276643.06536736665,1096.0127604735098,647.170665341866,651.2611645202851,825.7005104449636,1763.8486299258366,411.8957610440964,6437,9036
N1_0[3],520639.19441760925,1353.1267191253767,96037.97867564713,338538.1699813748,455277.6906312934,519293.44379426667,583711.4621603782,713890.3358565829,4957,1.0013412352155884,1,363620.0728668881,519293.44379426667,683126.8505022626,2636.8162356375833,2111.241684732755,1412.4246830254851,1365.3339521371527,2337.878840384714,956.8604820149128,4856,5079
N1_0[4],288332.53162245476,1400.6357033220384,87746.75858186335,135151.44406512374,223181.20558099836,285447.92330208514,347445.1914409489,466874.6713864042,3858,1.0013749098440612,1,151709.72770327594,285447.92330208514,439103.20757315174,1891.8483530419908,1928.6203913915815,1512.7553555132472,1243.789828975714,1781.2854269001982,990.4726150558274,3660,5518
N1_0[5],415070.9958581741,57.125593033519564,6820.930649100953,401540.3073705675,410486.8543782933,415025.2537637799,419710.4860536868,428330.8078437065,14233,1.000036718009763,1,403930.70113829564,415025.2537637799,426270.7528625794,187.5704414100328,79.93828827902325,66.86635039449902,86.2728811846464,151.68462504574563,40.39472029727145,14267,10730
N2_0[1],0.03687274501793876,1.6413120139009663e-4,0.01126886410061909,0.0187887747339129,0.028826067615235318,0.03555856261004483,0.043419221257886824,0.06314678585407091,4713,1.0007424069679036,1,0.02099915936554706,0.03555856261004483,0.05738452324906635,2.0166837965492242e-4,1.7758616109329363e-4,1.7564368062237753e-4,2.2892074150494823e-4,5.396997135422785e-4,1.1606546727742125e-4,4412,6646
N2_0[2],0.08162574092922924,4.3864013315499974e-4,0.027379266886766743,0.04191108616968482,0.06103349221031023,0.07696618512050889,0.0975776088264165,0.14449922629600834,3893,1.0009910504449262,1,0.04570582083081039,0.07696618512050889,0.13317447075854286,3.000641472419331e-4,4.081543854059129e-4,5.036565740319451e-4,6.53447640617269e-4,9.575807074238274e-4,3.101886350789023e-4,3834,7041
N2_0[3],0.038336669392686845,1.4975996175795234e-4,0.010439320709790203,0.02063859159426194,0.030945261693773783,0.03741450063186079,0.0446767571282831,0.061433167905104,4856,1.000821066998849,1,0.022890267740243664,0.03741450063186079,0.05680944832860813,2.8716760416603107e-4,1.5212310929029436e-4,1.6123701035378538e-4,1.8873910533020663e-4,3.204767005260123e-4,1.0590264152452384e-4,4645,5565
