Parameter,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,valid,Q5,Q50,Q95,MCSE_Q2.5,MCSE_Q25,MCSE_Q50,MCSE_Q75,MCSE_Q97.5,MCSE_SD,Bulk_ESS,Tail_ESS
r,0.1580651883653416,2.3959014303429302e-4,0.012569401393474596,0.13379380560718085,0.14930463134239214,0.1580002804502137,0.16635391139594774,0.1829353277052492,2737,1.0024771916283277,1,0.13791172882517355,0.1580002804502137,0.1791834573244003,5.545604929261538e-4,2.978652554402189e-4,2.964062409764878e-4,2.5917255564771036e-4,5.985256461659427e-4,1.6943377166598323e-4,2744,3162
Q,2.0693711297379273e-7,1.8306390981995445e-10,1.5210490042363045e-8,1.7835053770025566e-7,1.9660394588459234e-7,2.0652219362922246e-7,2.165389471755944e-7,2.384242418629692e-7,6865,1.0000032127495382,1,1.829155306287178e-7,2.0652219362922246e-7,2.3256172538142079e-7,4.1455576197730784e-10,2.5969979671786374e-10,2.293821296971068e-10,3.549344852170048e-10,8.040399844448335e-10,1.3045074425791816e-10,6955,4747
a1,4.717895494836581,0.04927909808274985,1.6851384594092076,2.4910336724943725,3.5141351373256553,4.356306779453066,5.525417133721132,8.947919943005102,1163,1.0023939634030747,1,2.721272276445906,4.356306779453066,8.02231588454559,0.04231941189692523,0.03762547279356032,0.04921047214695795,0.06628374767146017,0.12768479023504486,0.03485427950444687,1070,2214
h1,4.091866294834865e-6,9.657926127905743e-9,2.8601868314633543e-7,3.451402039039535e-6,3.917343058252562e-6,4.12416311468992e-6,4.299918358771371e-6,4.548552877019602e-6,865,1.001930774171045,1,3.5751500860932427e-6,4.12416311468992e-6,4.497630634739567e-6,2.1247529529522903e-8,1.1476169512078924e-8,9.98523280093584e-9,8.812579250177344e-9,8.296717564633689e-9,6.831457436888969e-9,925,1469
w1,2.1564480349094515,0.007090402027589023,0.5371318799669133,1.0934451988451563,1.794822117412,2.1592894449395628,2.520397491727808,3.1843042263014563,5701,1.0004219715121172,1,1.2628145249470784,2.1592894449395628,3.037600571854447,0.03130984737970888,0.012971745313217764,0.008074291613992868,0.008698973699902579,0.020832406457772956,0.005013926195248535,5821,3001
a2,26.735637619985965,0.2855826429626067,8.578701531772902,15.233723133683824,20.770306127219236,24.943942684318095,30.83998227170815,47.897902468834694,894,1.0016926759252818,1,16.28444160433143,24.943942684318095,43.2371505237269,0.14153209270450517,0.19018414668624395,0.24728215970091227,0.35605844303258927,0.9635711869051313,0.20200273098423693,1009,1810
e2,0.08223316363022956,3.6632739570636986e-4,0.01557968872906763,0.05381767994308477,0.07129428132808875,0.08148100349952436,0.09250747448014779,0.11447918424000819,1793,1.000370578729033,1,0.05791679691497821,0.08148100349952436,0.10838173551346426,6.085630174834031e-4,5.203312024147436e-4,4.201604235636522e-4,4.288007194211338e-4,9.949630687262276e-4,2.590743668849207e-4,1735,2459
d2,0.025209555310395274,5.527858938663493e-5,0.004086763285672575,0.017372126082007285,0.02247435344232304,0.025114571417109502,0.02783260842619881,0.0335713536097075,5429,1.0013198085740223,1,0.018605506956120697,0.025114571417109502,0.03205615849771173,1.1807086105152312e-4,7.981095367735891e-5,6.312845582103106e-5,8.775389365583627e-5,1.7109910454725027e-4,3.90899514265603e-5,5402,3618
h2,0.1882244453489442,8.362733023792034e-4,0.042942547615808804,0.1087413227752267,0.1591628093747804,0.187007954504339,0.2153367374056832,0.278744904917586,2624,1.0002405484370522,1,0.11953492484614603,0.187007954504339,0.2623243879397389,0.0016758358176467009,0.0011537480194804134,0.001081834997845102,8.922295610591102e-4,0.0017244905121841236,5.91399945096345e-4,2545,3039
w2,6.743934862764559,0.1332194601261525,5.669441620411158,0.23056117101553095,2.347517846176254,5.313055689789791,9.589739626282034,21.09824541175591,1811,1.0009356225914514,1,0.4536112970625404,5.313055689789791,18.18000438058652,0.029635776414017864,0.0813767336281992,0.14894812404022062,0.24104783895483806,0.42915008776799546,0.09421555809590589,2009,2961
