Parameter,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,valid,Q5,Q50,Q95,MCSE_Q2.5,MCSE_Q25,MCSE_Q50,MCSE_Q75,MCSE_Q97.5,MCSE_SD,Bulk_ESS,Tail_ESS
r,0.24383212287029926,6.620760433120588e-4,0.04169176613062156,0.16990883348433947,0.21518190679241567,0.24041473166210559,0.269902785805537,0.33274341281843023,3957,1.0008416647852356,1,0.18028916456507976,0.24041473166210559,0.31699912515573164,0.0010259845186876143,6.356045456524378e-4,6.642917037282675e-4,9.78498616796053e-4,0.0015599784637479741,4.685225905783141e-4,4005,6075
Q,1.2902986843348487e-7,1.1198410730956218e-9,7.812754774731059e-8,1.8182969901631554e-8,6.754712225148114e-8,1.1694961337583757e-7,1.7857336745681953e-7,3.0824769445460816e-7,4853,1.0004866795351397,1,2.5227367975934328e-8,1.1694961337583757e-7,2.7320809891650556e-7,9.088926050817632e-10,1.2780925273566608e-9,1.4932813048847373e-9,1.4524790080523808e-9,2.4786345230250053e-9,7.918946706952878e-10,3779,3113
a1,0.8935944777270184,0.0048924624282513885,0.2900898451937581,0.42934699913541874,0.6816783464842625,0.853983701782807,1.067685644974039,1.5512293039217675,3506,1.001075977435929,1,0.4857160911260049,0.853983701782807,1.440311538972826,0.004252440893434489,0.003398397169479872,0.004546545202088248,0.00693507483835587,0.011713460106071771,0.003679035085936065,3836,3248
e1,1.1134982292186163e-5,7.861634322370527e-8,5.099226673285859e-6,4.227574845155011e-6,7.636177757121535e-6,1.0213547499115526e-5,1.3516954598108614e-5,2.3491374048052486e-5,4202,1.000231784606766,1,4.895159341549931e-6,1.0213547499115526e-5,2.0465885324850914e-5,5.3221689882032754e-8,6.5181380573374e-8,7.202539190256845e-8,1.0625687200537398e-7,4.42195898436343e-7,5.559400372349841e-8,4215,6058
d1,1.9833725399547604,0.00737668163446035,0.5386342429081507,1.0556504904119022,1.584136267936059,1.9435471831615891,2.346611025447458,3.119632963402004,5267,1.000305581388939,1,1.161649921093107,1.9435471831615891,2.945428353444651,0.009022953148817292,0.006193219178374787,0.00950701714771518,0.009235642369806563,0.018182454481778132,0.005418292315877515,5453,5022
h1,8.937421454895144e-7,1.1209857031729556e-8,7.737499748728733e-7,2.641833938831099e-8,3.0567287007902907e-7,7.106763008185287e-7,1.2818042386536681e-6,2.7251754002553198e-6,4759,1.000068426294299,1,5.255422260468321e-8,7.106763008185287e-7,2.3171747652133666e-6,1.8542948152665489e-9,6.873702393794634e-9,1.0663948000831726e-8,1.7896191324103732e-8,5.294052463072402e-8,7.927051232063843e-9,4528,5696
w1,2.3225780663826145,0.007332467397233608,0.5430552507027491,1.3695131169018224,1.9336456977647989,2.2840967633540092,2.6725895349429485,3.486168411038289,5476,1.0004198678606766,1,1.4916140809523586,2.2840967633540092,3.2862849204415756,0.010336068044005442,0.005946582738631245,0.008422620270677639,0.011940967316923068,0.02955248933807475,0.0054907528594874975,5732,4265
B,0.0809089642396213,4.007568518503091e-4,0.02266807555305061,0.04581800414366703,0.06453573233040029,0.07738449784388149,0.09400910521624928,0.13450341590832338,3160,1.0010221522300846,1,0.05020007553713421,0.07738449784388149,0.12432848772495472,5.233047118164934e-4,2.208436046896925e-4,3.296293792978272e-4,6.224918005561172e-4,0.0012489171453377163,2.9183399499548967e-4,3391,3770
N1_0[1],186258.9469783865,786.5280055545458,68098.28237652838,79171.77982426556,136934.5728117093,177851.2692471578,226586.17896519316,341559.52937566495,7467,1.000216399744961,1,90931.88688242019,177851.2692471578,311167.57879830064,1045.4813430028444,669.9241948540439,919.8351047403121,1312.8344648685306,2719.7926652326423,565.6062169427032,7313,7547
N1_0[2],172754.23944315244,859.7048728920803,66457.66196516168,71186.96551241154,123214.29477313925,163558.56095576356,212281.98924876787,326586.9246794378,5967,0.999975573462853,1,81847.70485940005,163558.56095576356,297095.9581120716,914.6080615353858,954.2154852415042,1056.7171120968997,1131.7634745587857,2943.1740726279095,607.9328181992676,5679,6992
N1_0[3],197598.2102349432,860.7549357789878,67982.13181947258,89040.97255027671,147649.77297559546,190214.52501948102,240194.58319736924,346335.4002505795,6190,1.000144761749875,1,101468.33625348163,190214.52501948102,320433.26976336335,1265.6986956145265,931.0305978137767,1054.545566507877,1151.387004614604,2571.325495871395,610.2064858854073,6295,7561
N1_0[4],289562.52269633405,981.3301137760924,81541.2716420523,150961.49269798223,231212.98510847165,281970.2996534112,340824.88864288223,468822.01216176595,6900,1.0002170180102035,1,168596.97451505714,281970.2996534112,436320.82553237333,1443.7653503545007,1222.3339646252716,1095.0348106728634,1417.3802372964565,4317.437994082924,697.1966976719342,6917,6823
N1_0[5],193132.41432035717,83.18484057758222,6730.460847048133,180043.53821537856,188606.65611853293,193154.01324592438,197652.55750974469,206106.30515911218,6539,1.000363605884816,1,182070.7707379237,193154.01324592438,204008.30698296652,269.322605009118,109.24600812839344,88.8629062976106,96.06696681077301,201.49841731811466,58.82318573785282,7156,6137
N2_0[1],0.27682562950475476,0.0018892042568713727,0.18690102176142134,0.021521612480267127,0.13049140919265426,0.24384350929041462,0.3875403797193476,0.7181109363438384,9745,1.0006375821779872,1,0.036266348923129306,0.24384350929041462,0.6340806029725553,9.422931805398941e-4,0.0023305367997567272,0.002577481478576754,0.002925194019292199,0.006703597699062758,0.0013359089471946673,7286,4492
N2_0[2],0.30059263033250844,0.0018679998757493068,0.19268218352887076,0.028091416832278785,0.15049521772012509,0.26884943691574975,0.41935415762759387,0.7462289365094099,10637,1.0011703574680102,1,0.0460556426892023,0.26884943691574975,0.6571371725366225,0.001858080647754213,0.002488958401304614,0.002874052686965417,0.00304567143711576,0.0070017893075995374,0.0013209115933968485,7833,5109
N2_0[3],0.2974655895781169,0.0017178001920687485,0.18424756018393793,0.03408533043119058,0.15550390196090233,0.26757196413052864,0.40931958005951885,0.7242928965084205,11467,1.0001999981725178,1,0.051321215088700606,0.26757196413052864,0.6398848411795577,0.0019162928793092296,0.002366239178516652,0.002550825727036715,0.002707502713318849,0.005535681903822753,0.0012146989579072491,8550,5694
N2_0[4],0.2668467684523624,0.001551882482981073,0.17875915722969285,0.026052260382464734,0.12829732570249314,0.23423208722916383,0.3713762918963964,0.6915330855864152,13216,1.0001270560749749,1,0.04011011212262897,0.23423208722916383,0.6088957271068451,0.0011108421222049917,0.0023348881571917807,0.002242861382086195,0.002882488720726717,0.0064447567559142716,0.001097370758661226,10045,6871
N2_0[5],0.08919444572535888,5.428219792619072e-4,0.05879330419411552,0.008384620131855746,0.043545637719426565,0.0783951286832825,0.1244699853029761,0.22738999975952084,11725,1.0000617676282875,1,0.013277191549615536,0.0783951286832825,0.20130852732967564,3.9439705745594744e-4,7.932144741511736e-4,8.210354508128917e-4,8.485733404831608e-4,0.0017846248519060998,3.838426486680513e-4,8572,6127
