Iteration,r,Q,a1,h1,w1,a2,e2,d2,h2,w2,N1_0.1,N1_0.2,N1_0.3,N1_0.4,N1_0.5,N2_0.1,N2_0.2,N2_0.3,N2_0.4,N2_0.5,N3_0.1,N3_0.2,N3_0.3,N3_0.4,N3_0.5
1,0.17028512251346595,1.9222352342239898e-7,8.020802580970624,4.4536824136129705e-6,2.112810335696793,23.899253840214772,0.0732365561667964,0.030549943751838386,0.23588562620430714,9.268102892683837,360760.7129241313,256882.04621472806,249712.80323890204,247619.2918709565,216198.46831877637,0.11371373513791139,0.08438904055660666,0.09642395554875824,0.05960413259582908,0.11971508053663289,0.004838678690019435,0.004993569682922184,0.007196767827225866,0.006786479083703275,0.005148870933307779
2,0.14816633960028275,1.9846630370662438e-7,2.97462024035108,3.581136524640081e-6,2.6065970973279913,45.47557166193887,0.05195433024621762,0.023891668231011996,0.11181417875770883,17.15406407246099,327733.19620094803,251390.7114423018,239936.9623922793,228299.29929329501,228174.24321529976,0.030680031183547184,0.06754577852385739,0.13470796628104975,0.10693076398711666,0.13059234319119079,0.005920924210626275,0.005957298312136249,0.006705157417899716,0.005795984540575269,0.004132425272803215
3,0.16711053754047736,2.2682750259725163e-7,6.8625482872466534,4.3357930073883475e-6,2.5296147693453195,32.59596426366033,0.055826065223079126,0.026414308140400192,0.18286674181578907,21.07533091970515,458946.0206014488,312365.30198206496,276134.94263894117,260791.26624678107,229533.1391856403,0.11830140616109311,0.1077046300950663,0.15792994997663262,0.047404619090327504,0.08956548502639888,0.005640391788010165,0.004545918591301957,0.006151609482356498,0.006730140519640261,0.005257207751024238
4,0.13778653325719692,1.8941211484722757e-7,7.119349705393517,4.3156154055884275e-6,2.526132563344267,29.348841230370493,0.0687759765932684,0.020543629140848414,0.2196320496697667,16.701196161396375,445871.90931557573,287480.850032034,254842.33773208762,296453.61429352354,228950.07162575633,0.06867093013900863,0.09576399350334228,0.059197952492535795,0.03843840317521213,0.06085221664907159,0.005738108752494094,0.005153159518020648,0.0071572262941534725,0.007410298117182558,0.005551244543734219
5,0.12447010131846484,1.7890598619042217e-7,3.305812785549768,3.772660758473144e-6,2.523621111682248,37.859319055953904,0.06169061846653835,0.01413678960440538,0.18710339085310357,8.546431633250315,402540.7709539398,266579.00745827483,285956.6438577836,234965.4452837263,235194.57299879205,0.031157133151302367,0.05125800848109524,0.101484530821944,0.051627013503849996,0.08491817359000663,0.006473418633616277,0.00537189237969261,0.00648062019876066,0.006601967600289631,0.004701157219672816
6,0.16740198624760141,1.9490766782367276e-7,6.134327836936205,4.202477710819078e-6,2.589821389809846,31.755783889652182,0.05005011680303243,0.019088646893455484,0.20206826391035942,6.394914089573228,377743.87334540434,254369.33475467633,257440.27178787495,222893.0374590361,221466.9452753441,0.07600381441241418,0.11091801305407453,0.13948726919519921,0.06369880947837107,0.13380150383761674,0.0070704427940339685,0.005127336209876276,0.007621208232209258,0.0072596552920777165,0.004651528279147294
7,0.16779704656417613,2.1675290005271755e-7,3.093200495093457,3.914796991646273e-6,2.078310947518791,37.158159367467526,0.05987946154368368,0.016042284207560757,0.22293315665869226,18.333721616031568,359435.16654177714,276567.3493143299,301170.17935439176,219751.72366139188,215097.0125079636,0.12825460833502098,0.2017935877629724,0.3090767775268645,0.13043437462430585,0.16268001194750917,0.005160728321040287,0.004505595429891906,0.004880307462454226,0.006167138185493205,0.005278136727390899
8,0.15400024323461378,1.9634683140766348e-7,4.524225962862653,3.783575436086379e-6,2.58947827695365,40.053557368313044,0.041101315026164036,0.020466396640339283,0.09946716100853288,14.980040828779144,324143.6482834822,252788.01353315855,222753.0378725326,185619.17165390943,223367.70834972887,0.038527998386443454,0.07400234783907444,0.10217385325344046,0.08457932652708287,0.09294763067170811,0.005833258159680366,0.00508998175842828,0.007672692945161924,0.006266695983693712,0.005352625511175001
9,0.17414840376149465,1.993319387626936e-7,7.598376493447412,4.479595359412198e-6,1.8179417645357527,17.95631316287002,0.07609313737697032,0.029535835936349106,0.22679511528032967,5.838747940160268,346002.07899546315,253227.83050420435,219861.23183832527,210080.77355797397,217781.22900763378,0.10812213703543459,0.14173694613948618,0.14595654049518522,0.09931341577290398,0.14826459172298112,0.0054747784201733705,0.005420171094231736,0.007978518251925599,0.0071759695792854095,0.005159208814727752
10,0.15941398469714507,2.2281337713571815e-7,6.330914977173552,4.339201785841465e-6,1.7791204013246302,23.20133788969014,0.053319606126591944,0.015866042916318664,0.1798284291669987,0.19153980359636852,391132.2608125716,296655.856424683,251154.59231349686,245568.36363458715,235648.2009681246,0.09306821304461323,0.08846706572888498,0.1066332468721973,0.05673849483113358,0.07127318838447984,0.005455403899216399,0.0058182405408247736,0.008185575736190465,0.007203500957368726,0.006312712383091201
