Iteration,r,Q,a1,h1,w1,a2,e2,d2,h2,w2,N1_0.1,N1_0.2,N1_0.3,N1_0.4,N1_0.5,N2_0.1,N2_0.2,N2_0.3,N2_0.4,N2_0.5,N3_0.1,N3_0.2,N3_0.3,N3_0.4,N3_0.5
1,0.05344980924593605,3.5443291045524506e-7,5.761749093967183,2.1002728092823085e-4,1.9130214045977423,17.185956255637407,0.09483351260509758,0.053757271780643885,0.2680314765173326,21.689377939079062,181227.39096521353,274137.86656564416,202369.6054531199,146022.42896313145,205856.43956819279,0.019186063922105197,0.028224403355287836,0.04430747543720129,0.03972154651424675,0.024869782018181547,0.008377927871891592,0.0070665657701981755,0.005999660888967459,0.004702846474471136,0.009227364796341737
2,0.05111068004796276,2.7204888341302743e-7,4.104877530050915,2.093554086555902e-4,2.6505160896466835,18.681207462029533,0.07514790356654363,0.0446141890776288,0.2775492847776618,11.860291985032925,190072.39412514376,259377.926244126,196113.92656946395,152973.08640107515,215907.23272115155,0.02083391858385511,0.030364336799405995,0.04820894445000573,0.04596341598876715,0.026447637026749342,0.00871218880209656,0.006472179016861391,0.005600996577484763,0.004896261006703193,0.008587603329547867
3,0.048085661887505744,3.12114660821661e-7,9.92248440517089,2.1062384183094377e-4,2.8812579116642474,15.768591759945714,0.07651412282392557,0.04023263726437886,0.1700830085570831,28.40884326192642,191397.2572403847,335058.5722957207,250024.47307104126,164055.07145103184,214364.25272694475,0.019349302296651577,0.029171425266865548,0.04676331816807696,0.046196979505197695,0.02009728624674008,0.008216210593236533,0.006117402193574655,0.0053571167142811675,0.004412615580236425,0.007466921083063144
4,0.051815979455464796,3.646284447558127e-7,4.402351600036919,2.1074536172506177e-4,2.5362833398828264,12.84856191500321,0.08474424526871413,0.03578758180997476,0.22819999748365552,7.884870883907905,214551.60977093707,305411.56273940625,209382.20948237964,163397.13124730706,215197.80225137738,0.01393017485417633,0.026459357615195803,0.04516765593886363,0.04204067308329925,0.01767677655495156,0.007324134414154583,0.006730294796961589,0.005733322001108539,0.004632317162370057,0.008239268577802777
5,0.04997125616214087,3.3646474858411424e-7,5.300222421020023,2.0887874209468745e-4,2.6309216072712456,19.562834747656446,0.07437224049909225,0.0447309333314033,0.24670868598927576,13.89765789276661,160606.6362989702,308293.955368632,175604.2003457836,140909.6615989737,206962.48964015144,0.021018729202375165,0.028313759218714537,0.0466097241978057,0.04043924119984367,0.024067175858356046,0.007631963320856836,0.006471813447908968,0.005463383544947112,0.004522947766028212,0.008741781301293642
6,0.04865847885889241,3.574747049116119e-7,6.007353330062598,2.1093120988102345e-4,2.4144202560776375,14.114989638708252,0.09685873757413282,0.04990308902521382,0.23310982935513605,13.467220853232417,165768.7019300067,285179.83454809594,191074.91469481378,168846.09852357724,223633.3686743068,0.022757977493804524,0.029692704266133792,0.0470649243386103,0.04502306272431325,0.022694640472302144,0.009014633009704716,0.0068937676405847375,0.005813929761431888,0.00454957011525567,0.007868190947296367
7,0.053119293615818026,3.7618286415921174e-7,14.758249461504963,2.121393546832609e-4,2.432293027085141,12.767074239770496,0.09632650760812307,0.05013683837339513,0.2156172254992282,11.56886581509036,172182.86977206814,305952.3273611969,164384.13184009487,151841.0589037727,209950.68436030622,0.02114184852100017,0.03538186765968003,0.056996625694511076,0.04776593702577274,0.024533126980900804,0.008708609143249816,0.007148516383843494,0.005779038637636381,0.004206156911441379,0.007931996451697919
8,0.048858120497307034,2.749575405672449e-7,6.406648460279766,2.0899805266067607e-4,2.2850949622927064,18.103850948798588,0.08316691006175077,0.046854781239275015,0.2653813598788226,17.103384093876798,180107.4817751031,266141.45317710756,198681.85363779322,164736.90699293627,205162.7093362733,0.013939678657781562,0.022339595257018945,0.03911966167321659,0.03691390637762487,0.01892142083388401,0.00798813569550906,0.006098227641077549,0.00619876488909972,0.005199847778280932,0.008218734324779691
9,0.055197205849953065,3.1837804386300377e-7,13.47834049828092,2.0932860346818243e-4,2.7853619833312524,19.44564639139753,0.08956047134153701,0.05791599428161341,0.2812756153487942,10.028079678316297,150957.99523207758,288782.96593739005,186836.85988496876,171930.98555753753,213693.47496457928,0.01822825211576051,0.027605348606109942,0.04429250929163662,0.03421137778492374,0.02561498004077763,0.008315785726092645,0.007002252392922272,0.0058986092729993176,0.0049274937165724635,0.00836456597254796
10,0.06008278032731843,4.867952497084468e-7,4.930530285577178,2.1031349661372012e-4,2.9250884275815996,16.8716230496865,0.08733688477876304,0.047903667281975815,0.23308820575232617,27.896181650486152,166573.57887458318,309867.819857266,214804.383204617,136941.8954621348,202156.22921955155,0.020077115594968692,0.027308188879325738,0.048047401812092785,0.04442173996655933,0.025970139489907843,0.007715877356559363,0.005708787281165643,0.005521323876186502,0.004224803803442356,0.008288018168536911
11,0.05113718701141319,2.7245072097617334e-7,6.890760096255831,2.1006892645517348e-4,2.0794437042508247,17.942847663765285,0.0996793876101607,0.05911073037381914,0.2630702441987535,19.99350357679965,150913.5590579243,301818.1853836806,219065.1523486411,157265.51604109854,220066.35701705643,0.02011541462573442,0.028199819341579186,0.04358723536214158,0.03699418433122205,0.02418913618403905,0.008266633190900796,0.00694580864617764,0.005631162008604797,0.004389709131568124,0.008160741586435863
12,0.04300246368089083,1.4091745863262915e-7,9.21306790512043,2.0912474679969905e-4,2.0739164666814034,20.074104866822974,0.07087039372078337,0.03808829255822491,0.253468936853532,25.64582926901178,179236.3638417141,282939.68294482684,254150.0915497495,153534.28715885495,220372.07029004433,0.016425397097682672,0.025060932041306907,0.039833877922004685,0.043226118959432056,0.019990607254347426,0.006649873716135674,0.006205917013179134,0.005460364902193469,0.004947158995348463,0.0075690480438583615
13,0.0521476650681941,3.5671394886959446e-7,7.701641553307459,2.0996491999989114e-4,2.177422979425975,15.486577728765749,0.08417799462309597,0.04096965691046337,0.2155288548444637,22.351569740380267,195247.15091546194,290684.83167120675,207027.06196807852,138427.40678164072,199338.2167087069,0.012609180252829942,0.025443125636504027,0.04164567398508309,0.03825074760256491,0.01511066356335234,0.007903331591548598,0.007078234680392405,0.006227489475000055,0.005154178396428991,0.006976128345360073
14,0.045372207908938,5.6225839634748e-8,7.37807488672995,2.0977170592403825e-4,2.7234701355089928,17.58699083910296,0.07220343374253682,0.03801860997418498,0.24125847556237678,14.976165672616165,173261.65412127392,272893.97529245185,208093.03134522264,149700.2850216131,210343.57654655728,0.019811634040316814,0.0284101365258956,0.04907993724111016,0.04654491227288346,0.023647250281458497,0.007189148983501519,0.006343027211980873,0.005691795832565334,0.00496453592125173,0.007393467531743979
15,0.048118223999945385,2.875442437976856e-7,5.947932536344576,2.0677750671587537e-4,2.4167944622443382,22.639644246134353,0.07067477256775487,0.04582884707767515,0.2631651614230524,7.5023011586126955,207962.43799735614,302760.5131104,235475.98367179747,137684.49972529968,213741.22117831107,0.011090699291358275,0.021799293570765182,0.033662954245412866,0.03157379227669511,0.02058643805734372,0.008042235622154913,0.007028475263459545,0.006219217353675892,0.005447929705838307,0.008204246827047776
16,0.04818323920726155,3.2936996582283954e-7,7.021692180690723,2.0954983947185868e-4,2.3083160924056516,21.223513067541557,0.07802078105227706,0.053427141158917085,0.2723876066190947,22.19349919381416,184400.17888448937,328494.68487086723,247206.8674672988,125308.54619525463,216693.72481288496,0.024208952493414853,0.03470821615505455,0.043417353027257334,0.05202943452929242,0.03120583295331314,0.007435155767158994,0.006272729623643998,0.005469261990327265,0.004620862934055385,0.008488287026728818
17,0.04717819639351438,2.070150101100274e-7,6.375612693703198,2.1086775117767182e-4,2.3818763729937875,15.470433034821461,0.10032506900280082,0.054861024957904146,0.29329731206754994,15.789606992626474,171594.0789634201,251193.42612190917,167135.90309786855,151660.1753275153,210777.440470018,0.019102125637862614,0.030169617812628814,0.04923589878505134,0.04485609098950266,0.02610170672161176,0.007706895128342013,0.006629272778200379,0.005771532958097106,0.004708257992007018,0.008137166562068433
18,0.04987797140870082,3.2466029710800826e-7,12.86748742883848,2.1002637993870833e-4,1.9740531674900437,16.30531053454404,0.08283449031969205,0.04444673348335684,0.2487962426621636,16.52433639025471,207894.76613907577,277842.9736054067,200896.7504083027,195272.89250926286,208381.49306772897,0.01792560981103845,0.02842779138129258,0.04270736605076667,0.041045441057195764,0.019878967554764884,0.009473079724111343,0.006700225421003676,0.006238373960941933,0.0053366706053383775,0.007863428332763777
19,0.05548129806494069,3.4935524548027155e-7,8.214664407474176,2.0865691857636977e-4,2.7883582996148943,19.62488091055216,0.07277373351793313,0.047671509825503375,0.22746445978981122,9.501026227340732,137066.17737140856,281286.7140255794,173889.6686900493,135566.06818760617,219775.54361230833,0.02146867117467786,0.026597274061721205,0.03982713893049131,0.03446716971888066,0.020723398127847847,0.00802164918174546,0.006688040806374172,0.005775317639643031,0.0046505116826345335,0.0078035499982387
20,0.05143527533719289,3.5061795622930923e-7,2.99997212655383,2.0750857237667676e-4,2.4518432895275826,22.016884339018276,0.06103170232812943,0.04095356121744244,0.2102108211269333,21.037339962686787,187866.0560905744,309117.3823935428,242435.0968868453,172113.66823252023,200469.19831305204,0.019496590129396505,0.02956973980311454,0.04380383102200355,0.04093621010884505,0.02691265630188665,0.007520300359742139,0.006573619084590902,0.005705747510722281,0.004672400986438143,0.008484503558774444
21,0.04492667814196784,1.8905874145368137e-7,5.970855512109843,0.00020924834354084569,2.387468433540106,18.53428152904485,0.09493844695613578,0.05873948772010499,0.24531360828674226,19.14408690312374,230851.56339040355,283789.59292766324,214916.67658420332,171247.12649760602,203026.3139535108,0.01781818661185892,0.026874131624925593,0.04221827427695579,0.03632529050506068,0.019152939121064316,0.00786899459241392,0.006806934588298107,0.0057323492541929135,0.004874966129964966,0.008034889133820645
22,0.04781538899384701,2.0474317806078688e-7,6.239531000803155,2.1039991766310997e-4,2.364462823709273,17.565579551040074,0.09125645230481941,0.05433950759548298,0.28649526648072776,16.27636494462745,189473.55875434633,259936.9613537961,188423.16527012375,146928.52856876273,210921.61142590962,0.02191803071980129,0.030953182352923832,0.04937107054039126,0.04517961635064304,0.020875295930168906,0.007816118758930455,0.006042442530800807,0.005597102403095894,0.004368242523629464,0.008087315448372379
23,0.050446304635814156,2.4314428866052025e-7,9.010794166909243,2.115917517242502e-4,2.3046468576908,14.273542714594422,0.09927325295299491,0.05394427592176385,0.24357613692816052,20.994779028895184,144889.17976272342,267097.0285078922,198885.97598403462,132653.83832753942,210458.98776543787,0.02769305183210372,0.03618820012187891,0.052263685139342056,0.04959976473000591,0.02348170726159188,0.007919405960356783,0.0063902302406439,0.005636950633194485,0.004589067251922214,0.008636346191894274
24,0.052856293252508,3.505521822716418e-7,10.633767924940784,2.0959140632202094e-4,2.4722369386148673,18.289255560838352,0.08608260160115709,0.05348932509673262,0.2746303510334458,11.952165813439485,176155.68387169606,316167.2565491758,161872.313283707,147697.5858160161,214881.6948702791,0.01776318739049881,0.024842339668317146,0.04127585467737786,0.03886586748722379,0.020295748226476677,0.008111573102738972,0.006716048887915628,0.005916341460441543,0.00531443861599596,0.008137614351953384
25,0.04837195219973389,2.5265427424156715e-7,10.410984139600403,2.0933793695987671e-4,2.407199660773625,19.549640454035835,0.08358656552354679,0.052079499124196,0.2809018287389497,5.037510763623966,178875.70285017538,332720.58300757664,226938.5777987029,145319.7816394221,213667.36161988045,0.018410871613406158,0.027058167277299438,0.039412889711957944,0.03615509074508165,0.022450315477359806,0.00813060567214521,0.006614734579836278,0.0055467379599421435,0.0045189967890117595,0.008100500943333354
26,0.05041268592947198,2.420856973272299e-7,8.601995480804682,2.096021307370965e-4,2.6352167725444375,19.650586231215225,0.07811109787354925,0.04553524097515402,0.25791406713498805,17.480733977692285,165877.46793752242,304038.3098573625,219987.93608665257,152809.29616510906,212425.34937392102,0.018694810180136103,0.028689615426193586,0.04385826137160459,0.04090366270041834,0.02122847708740324,0.006804316460638935,0.006276643103349724,0.005140671496143722,0.00416014168286697,0.006911659175870154
27,0.04598584592030785,1.903460617436652e-7,6.301683133369077,2.089852431983619e-4,2.8066288680693066,18.96958655038865,0.07226815577360439,0.04876207246056293,0.2459229904119123,7.783246270345519,205633.30538389427,301277.6890988932,251616.06599849806,168435.62594220586,222651.84966403112,0.02174160569048356,0.03167823581072851,0.04680746248071641,0.042214861960693933,0.024099125796502273,0.008933902947113343,0.007000207037351287,0.006303016873613961,0.005249128951728005,0.008126339300177652
28,0.05306963119431848,4.0514729687805546e-7,10.948609720791316,2.1083897117811796e-4,2.489943184328895,14.192214560954776,0.08325929654996343,0.04280540956998378,0.23147082712425465,8.289777876330222,195842.5231142295,302016.79891196097,254555.49865577935,152523.38601483693,213175.25618253055,0.0179868532382044,0.030186003011969886,0.0460187949676699,0.045476086884071204,0.02022796727647858,0.007647754121378522,0.006444604240465119,0.005971428367575564,0.004917219136309613,0.007864433323250309
29,0.052336109687504,4.283003645637169e-7,4.573091028246002,2.0966141621368956e-4,2.7647361167529847,20.15199348320728,0.08562706613447997,0.052767847017791546,0.26320394025754,30.72132691692377,165047.3632413337,331336.1461045996,256551.55307050084,131794.9978214637,204815.4320309633,0.021632959947323865,0.029898823446736982,0.04665657469917593,0.04574840578347399,0.026149782973976753,0.007434949350684134,0.005869538457644536,0.005317751979750727,0.004165298762034657,0.007585519863419863
30,0.060860755052112074,3.7165939516376684e-7,9.309929670845069,2.09199307586905e-4,2.8630888180499885,17.155891006377335,0.07203953507459211,0.04268293385538785,0.18784077354179296,10.234607391482632,136061.71837771984,223281.4434380129,197999.5642604124,111462.64110716386,214268.6510494138,0.017685052112114383,0.027230446088440698,0.04307853679156749,0.03859709039878799,0.02018820858425845,0.008404485236732226,0.006601982868012235,0.0059916921322963985,0.004421480277707359,0.008077660308952852
31,0.04567757098659938,2.922676694128835e-7,8.820712903665315,2.073822917100299e-4,2.512879849288125,24.030645446537694,0.07425410930650332,0.04766976191568734,0.21344818348421685,34.41870454845342,219191.7218433368,321922.4862602162,266833.9983097274,160436.25029661242,218920.0596657747,0.013309451510265972,0.024956181281277554,0.03341572132785353,0.030634445751351456,0.015203686029925303,0.007509258290344103,0.006398842617755014,0.005676283079645211,0.004566878750705886,0.007551868758512438
