Parameter,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,valid,Q5,Q50,Q95,MCSE_Q2.5,MCSE_Q25,MCSE_Q50,MCSE_Q75,MCSE_Q97.5,MCSE_SD,Bulk_ESS,Tail_ESS
r,0.1529064446760646,1.5630616651213447e-4,0.009387371552648287,0.13493105471189232,0.14637023026782725,0.15266048043661923,0.1590243778884556,0.17212110798909908,3615,1.0003225614637739,1,0.13782404531395298,0.15266048043661923,0.1689267512209015,3.6689484151013196e-4,1.9733046688023836e-4,1.332843912745102e-4,2.336507252742731e-4,3.817260247799964e-4,1.1092358539316521e-4,3633,3971
Q,1.902748132127686e-7,1.2716625897454293e-10,1.0079206187832231e-8,1.7152387451269143e-7,1.834173878519741e-7,1.8984664183978564e-7,1.9667813384329096e-7,2.1102557109107487e-7,6283,1.0002351886838214,1,1.745257436173527e-7,1.8984664183978564e-7,2.0749207631250262e-7,3.8252836072842854e-10,2.0898028678646214e-10,1.5734176581123474e-10,1.8015449469395756e-10,4.864032585344017e-10,9.086006974031732e-11,6423,4565
a1,5.2406615577614355,0.029354194284887666,1.6207857177266214,2.678949847377453,4.077318997462462,5.021753448962421,6.175673923747734,8.983488856154107,3009,1.0007733699274193,1,3.0169299666614986,5.021753448962421,8.201796914580061,0.03812128667143955,0.03135137271899424,0.03505032043654843,0.04561148276155036,0.10555842273548333,0.020758535943893278,2832,3095
h1,1.0873965205229489e-5,5.057147948982968e-9,2.397264441171579e-7,1.032201586345802e-5,1.0732675858834677e-5,1.0893795563981713e-5,1.1041078153629947e-5,1.1274377165926731e-5,2223,1.0002801286984606,1,1.0442494290761715e-5,1.0893795563981713e-5,1.1225995495696442e-5,1.86666007718269e-8,5.982141562333251e-9,5.404736559729757e-9,4.0532041067369134e-9,5.882200229572223e-9,3.5764078591017373e-9,2291,2931
w1,12.520251531461573,0.0673182301929836,4.03890771236522,5.489976645460967,9.648152601076033,12.180655946736387,15.081456721072804,21.315843344916864,3570,1.0005012097532733,1,6.470833032945867,12.180655946736387,19.700721333474604,0.15078014877348966,0.08444833320808254,0.0953063925240718,0.09083037040275244,0.16644341905529103,0.04760503455334108,3293,2869
a2,30.62233671566309,0.130894590927954,7.1433606655235264,19.278626305438056,25.48519106073809,29.688988117608684,35.00022837409006,47.02468016660804,2972,0.99998248608482,1,20.443798758243993,29.688988117608684,43.653148273458626,0.167249794233717,0.11893206788096577,0.14224962455983992,0.20766429817807364,0.3618427551618204,0.09256551862353957,2914,3535
e2,0.08124130780305541,2.2406847462111312e-4,0.012875727243461416,0.057495368308699,0.07245048437606759,0.08051986864429694,0.0895033550074237,0.10793336627134135,3283,1.0004765054140743,1,0.06090892310434808,0.08051986864429694,0.10358255786814485,5.274082516932635e-4,2.3299788373566666e-4,2.7287621782273036e-4,2.6771532278745125e-4,4.2045118130366876e-4,1.5845433490264808e-4,3211,2998
d2,0.039422422733794864,1.0368882047591719e-4,0.007309113102027378,0.02566051988121384,0.03451507646906801,0.039370181375178226,0.04411832743066037,0.05450985186820853,4951,1.000422485234542,1,0.027731315552373757,0.039370181375178226,0.05164474470981957,2.213287231937599e-4,1.5430777846353605e-4,1.4532966860651697e-4,1.407878655264351e-4,2.128864323785798e-4,7.332337227796893e-5,4905,4057
h2,0.15083580488509354,7.903979980284318e-4,0.0480638995856749,0.058088588021995194,0.11868101641468158,0.15003884484560204,0.18275659084614823,0.2480830111335596,3667,0.9999922871245943,1,0.0724846119747846,0.15003884484560204,0.23258212479343712,0.002016516482961736,9.304115364651561e-4,8.147692130790335e-4,8.242967160073111e-4,0.001693587196716223,5.589398728970636e-4,3612,3041
w2,9.755932556974008,0.09810183704525936,6.512243854384824,0.6285227944286823,4.598606455603616,8.769392838836303,13.82893242109232,24.423497235505184,4402,1.000366268341173,1,1.1299443338133055,8.769392838836303,21.81207802475729,0.055442004246726906,0.11168576043229539,0.13814401697889167,0.12385287619083662,0.3938911331158259,0.06937306617231155,3916,3268
N1_0[1],228059.84636108513,401.27182197518977,24359.80575410971,184106.2247306495,211711.5105351119,226481.44879015637,243394.2946398189,281174.54135577416,3668,1.0002225327340228,1,190069.71902834135,226481.44879015637,269977.15402237925,620.5463375146355,437.8491852650186,476.30890986247687,513.8433831752191,1032.8045893579838,283.76448567978315,3642,4003
N1_0[2],237442.64433066556,427.57506652233724,25972.444630904716,188744.3436434535,219745.77285880514,236649.63223183603,253997.78005413356,290469.1433667218,3690,1.0006799047083694,1,196348.37014756323,236649.63223183603,282118.6630431379,934.7301152713044,477.2109569484455,574.739972958836,559.6900642143737,1195.2945465610828,302.3651315335899,3666,3657
N1_0[3],232769.69495078744,422.758193140982,27311.126225815886,184234.92224601988,213657.17842170203,230961.99347902817,250121.7596827192,292264.9281159533,4160,0.9998141784464503,1,191235.3214717831,230961.99347902817,280178.58509067865,991.4267332095624,492.890849094998,415.9146152658941,635.3619448684913,1423.0894990093948,299.87947959509455,4195,4223
N1_0[4],247836.33035641807,400.33487144817326,24346.96868611698,204458.1863579721,231075.38164514897,246431.91025383002,262891.7036381575,298603.3645943321,3695,1.0003136152652947,1,210076.6176735739,246431.91025383002,289545.54665074137,847.5911557288055,427.47172687825514,439.3124290671549,446.4330793591507,1911.3356882212684,283.10182819894794,3667,3806
N1_0[5],288498.9568211458,77.7521184366483,6577.765884833911,275658.7289817128,284101.23086738825,288430.6309666304,292996.64986044203,301508.58209049574,7154,1.0003764501192325,1,277578.6710299422,288430.6309666304,299272.47066029644,224.89705374932964,126.87223352212459,90.55551598838065,117.8304827575048,231.78462488439982,54.98129077312694,7138,3979
