iteration,Avg_TC,Temp
1,1.1374492549691941,14
2,1.1575905227114787,14
3,1.118262980949504,14
4,1.2417256166502146,14
5,1.1925888791013097,14
6,1.0259126964680736,14
7,1.1413736266943082,14
8,1.0752397233040618,14
9,1.1207678655111155,14
10,1.1749094768607689,14
11,1.0582034336655464,14
12,1.2237712758596946,14
13,1.0967342062105683,14
14,0.9997079373220353,14
15,1.0711086155143643,14
16,1.0371847209134961,14
17,1.1804027174721805,14
18,1.042516170967087,14
19,1.1735321437546145,14
20,1.0807782983486403,14
21,1.1723122534536512,14
22,1.0761317931312224,14
23,1.10911355664145,14
24,1.1268582280612245,14
25,1.1813051259694896,14
26,1.0436084746873426,14
27,1.1219866806390129,14
28,1.0275062726620978,14
29,1.138432362122654,14
30,1.100035915673935,14
31,1.1200313707515768,14
32,1.0597985038080293,14
33,1.1166463720458464,14
34,1.1559141160240112,14
35,1.1597707326581363,14
36,1.1067041927153665,14
37,1.1030138082909435,14
38,1.170819794156041,14
39,1.2605796178299291,14
40,1.1373448454608506,14
41,1.1038126155330157,14
42,1.0812732570215453,14
43,1.0929007613643593,14
44,1.057189234666268,14
45,1.199910569348668,14
46,1.1750571368791136,14
47,1.1450944793720133,14
48,1.094091254065726,14
49,1.186824449506446,14
50,1.0965955194986803,14
51,1.1048668268418904,14
52,1.0257705081902542,14
53,1.0983708075144232,14
54,1.1257742790453553,14
55,1.0611097021763591,14
56,1.091173942111765,14
57,1.0982692890591859,14
58,1.07949834340228,14
59,1.082190797584619,14
60,1.0738155436834758,14
61,1.0996477325085339,14
62,1.0180807703876187,14
63,1.0868194007172818,14
64,1.0866073764663853,14
65,1.1824350125563063,14
66,1.0658871505569192,14
67,1.032970458910964,14
68,1.1437496713788065,14
69,1.119668117540928,14
70,1.1352218244871544,14
71,1.0244652898786488,14
72,1.2054235829595588,14
73,1.1702717233113469,14
74,1.0742089003771869,14
75,1.2185488724379447,14
76,1.1147392302095975,14
77,1.1118834914817914,14
78,1.2521626663094692,14
79,1.1409275530027259,14
80,1.0735695201017321,14
81,1.2000859309947818,14
82,1.1534405085581636,14
83,1.1710419650063169,14
84,1.169082603924114,14
85,1.0717853419388306,14
86,1.0747176918731887,14
87,1.1499941082253644,14
88,1.0337787453890226,14
89,1.0565367609952583,14
90,1.042258008567673,14
91,1.0747702153253738,14
92,1.2266071590476175,14
93,1.2549742807076518,14
94,1.0484741596236562,14
95,1.1592282866830041,14
96,1.2297249004664101,14
97,1.1283454311306769,14
98,1.1276768769538776,14
99,1.2104568326450336,14
100,1.0811323571438811,14
101,1.0541097462604172,14
102,1.135227729021146,14
103,1.1738364852425784,14
104,1.1071547246131066,14
105,1.0640120988644415,14
106,1.12574538198265,14
107,1.1804840714567808,14
108,1.114044067163151,14
109,1.1440648651232956,14
110,1.092060016445306,14
111,1.127505596316035,14
112,1.201350667474575,14
113,1.1379684202921516,14
114,1.180893832378038,14
115,1.0794190607333864,14
116,1.0547035608380388,14
117,1.1980791169595455,14
118,1.1792772508353282,14
119,1.1097570263486765,14
120,0.9873354914931903,14
121,1.1154178388426135,14
122,1.0303264593886852,14
123,1.1211505760243283,14
124,1.135142333283676,14
125,1.0010732374148181,14
126,1.1433947469564525,14
127,1.0929003080706767,14
128,1.0598451801476938,14
129,1.0698337367862198,14
130,1.119305669139037,14
